Nombre,Tipo 1,Tipo 2,Ataque,Defensa,Velocidad,PS
Dodrio,Normal,Volador,110,70,100,60
Machamp,Lucha,,130,80,55,90
Bellsprout,Planta,Veneno,75,35,40,50
Butterfree,Bicho,Volador,45,50,70,60
Paras,Bicho,Planta,70,55,25,35
Weezing,Veneno,,90,120,60,65
Chansey,Normal,,5,5,50,250
Nidoran♀,Veneno,,47,52,41,55
Exeggutor,Planta,Psiquico,95,85,55,95
Graveler,Roca,Tierra,95,115,35,55
Pidgeotto,Normal,Volador,60,55,71,63
Blastoise,Agua,,83,100,78,79
Fearow,Normal,Volador,90,65,100,65
Krabby,Agua,,105,90,50,30
Oddish,Planta,Veneno,50,55,30,45
Primeape,Lucha,,105,60,95,65
Beedrill,Bicho,Veneno,90,40,75,65
Rhydon,Tierra,Roca,130,120,40,105
Gengar,Fantasma,Veneno,65,60,110,60
Clefairy,Normal,,45,48,35,70
Drowzee,Psiquico,,48,45,42,60
Hitmonchan,Lucha,,105,79,76,50
Aerodactyl,Roca,Volador,105,65,130,80
Sandshrew,Tierra,,75,85,40,50
Jolteon,Eléctrico,,65,60,130,65
Golduck,Agua,,82,78,85,80
Marowak,Tierra,,80,110,45,60
Arcanine,Fuego,,110,80,95,90
Tauros,Normal,,100,95,110,75
Metapod,Bicho,,20,55,30,50
Charmeleon,Fuego,,64,58,80,58
Eevee,Normal,,55,50,55,55
Dragonite,Dragón,Volador,134,95,80,91
Zapdos,Eléctrico,Volador,90,85,100,90
Vileplume,Planta,Veneno,80,85,50,75
Jigglypuff,Normal,"",45,20,20,115
Goldeen,Agua,,67,60,63,45
Slowbro,Agua,Psiquico,75,110,30,95
Kingler,Agua,,130,115,75,55
Slowpoke,Agua,Psiquico,65,65,15,90
Machop,Lucha,,80,50,35,70
Starmie,Agua,Psiquico,75,85,115,60
Muk,Veneno,,105,75,50,105
Growlithe,Fuego,,70,45,60,55
Spearow,Normal,Volador,60,30,70,40
Wartortle,Agua,,63,80,58,59
Omanyte,Roca,Agua,40,100,35,35
Dewgong,Agua,Hielo,70,80,70,90
Staryu,Agua,,45,55,85,30
Pidgey,Normal,Volador,45,40,56,40
Farfetch'd,Normal,Volador,65,55,60,52
Pikachu,Eléctrico,,55,40,90,35
Venomoth,Bicho,Veneno,65,60,90,70
Shellder,Agua,,65,100,40,30
Horsea,Agua,,40,70,60,30
Electabuzz,Eléctrico,,83,57,105,65
Dugtrio,Tierra,,80,50,120,35
Porygon,Normal,,60,70,40,65
Cloyster,Agua,Hielo,95,180,70,50
Charizard,Fuego,Volador,84,78,100,78
Mr. Mime,Psiquico,"",45,65,90,40
Snorlax,Normal,,110,65,30,160
Onix,Roca,Tierra,45,160,70,35
Venusaur,Planta,Veneno,82,83,80,80
Golbat,Veneno,Volador,80,70,90,75
Raticate,Normal,,81,60,97,55
Gastly,Fantasma,Veneno,35,30,80,30
Diglett,Tierra,,55,25,95,10
Koffing,Veneno,,65,95,35,40
Scyther,Bicho,Volador,110,80,105,70
Magnemite,Eléctrico,"",35,70,45,25
Mew,Psiquico,,100,100,100,100
Magneton,Eléctrico,"",60,95,70,50
Tangela,Planta,,55,115,60,65
Rhyhorn,Tierra,Roca,85,95,25,80
Weepinbell,Planta,Veneno,90,50,55,65
Nidoking,Veneno,Tierra,92,77,85,81
Pinsir,Bicho,,125,100,85,65
Caterpie,Bicho,,30,35,45,45
Victreebel,Planta,Veneno,105,65,70,80
Seadra,Agua,,65,95,85,55
Haunter,Fantasma,Veneno,50,45,95,45
Pidgeot,Normal,Volador,80,75,101,83
Geodude,Roca,Tierra,80,100,20,40
Meowth,Normal,,45,35,90,40
Mewtwo,Psiquico,,110,90,130,106
Poliwag,Agua,,50,40,90,40
Seel,Agua,,45,55,45,65
Nidoqueen,Veneno,Tierra,82,87,76,90
Nidoran♂,Veneno,,57,40,50,46
Seaking,Agua,,92,65,68,80
Doduo,Normal,Volador,85,45,75,35
Dragonair,Dragón,,84,65,70,61
Articuno,Hielo,Volador,85,100,85,90
Grimer,Veneno,,80,50,25,80
Tentacruel,Agua,Veneno,70,65,100,80
Clefable,Normal,,70,73,60,95
Gloom,Planta,Veneno,65,70,40,60
Charmander,Fuego,,52,43,65,39
Kabuto,Roca,Agua,80,90,55,30
Abra,Psiquico,,20,15,90,25
Omastar,Roca,Agua,60,125,55,70
