Nombre,Tipo 1,Tipo 2,Ataque,Defensa,Velocidad,PS
Weepinbell,Planta,Veneno,90,50,55,65
Hitmonchan,Lucha,,105,79,76,50
Ivysaur,Planta,Veneno,62,63,60,60
Zubat,Veneno,Volador,45,35,55,40
Kingler,Agua,,130,115,75,55
Chansey,Normal,,5,5,50,250
Squirtle,Agua,,48,65,43,44
Paras,Bicho,Planta,70,55,25,35
Magnemite,Eléctrico,"",35,70,45,25
Jynx,Hielo,Psiquico,50,35,95,65
Abra,Psiquico,,20,15,90,25
Flareon,Fuego,,130,60,65,65
Goldeen,Agua,,67,60,63,45
Dragonair,Dragón,,84,65,70,61
Vileplume,Planta,Veneno,80,85,50,75
Koffing,Veneno,,65,95,35,40
Porygon,Normal,,60,70,40,65
Rhydon,Tierra,Roca,130,120,40,105
Exeggutor,Planta,Psiquico,95,85,55,95
Onix,Roca,Tierra,45,160,70,35
Ditto,Normal,,48,48,48,48
Gyarados,Agua,Volador,125,79,81,95
Nidoran♂,Veneno,,57,40,50,46
Kangaskhan,Normal,,95,80,90,105
Electrode,Eléctrico,,50,70,140,60
Cubone,Tierra,,50,95,35,50
Arbok,Veneno,,85,69,80,60
Caterpie,Bicho,,30,35,45,45
Metapod,Bicho,,20,55,30,50
Magmar,Fuego,,95,57,93,65
Arcanine,Fuego,,110,80,95,90
Graveler,Roca,Tierra,95,115,35,55
Diglett,Tierra,,55,25,95,10
Dodrio,Normal,Volador,110,70,100,60
Machamp,Lucha,,130,80,55,90
Golduck,Agua,,82,78,85,80
Nidoking,Veneno,Tierra,92,77,85,81
Wigglytuff,Normal,"",70,45,45,140
Omastar,Roca,Agua,60,125,55,70
Snorlax,Normal,,110,65,30,160
Fearow,Normal,Volador,90,65,100,65
Alakazam,Psiquico,,50,45,120,55
Pidgey,Normal,Volador,45,40,56,40
Slowpoke,Agua,Psiquico,65,65,15,90
Gloom,Planta,Veneno,65,70,40,60
Nidorina,Veneno,,62,67,56,70
Sandslash,Tierra,,100,110,65,75
Bulbasaur,Planta,Veneno,49,49,45,45
Mew,Psiquico,,100,100,100,100
Clefairy,Normal,,45,48,35,70
Pidgeot,Normal,Volador,80,75,101,83
Golem,Roca,Tierra,120,130,45,80
Lapras,Agua,Hielo,85,80,60,130
Tentacruel,Agua,Veneno,70,65,100,80
Machop,Lucha,,80,50,35,70
Nidorino,Veneno,,72,57,65,61
Wartortle,Agua,,63,80,58,59
Moltres,Fuego,Volador,100,90,90,90
